x1;y1;x2;y2;class;manufacturer;type;class_name;manufacturer_name;type_name;image
17;156;695;375;79;10;4;Chrysler 300 SRT-8 2010;Chrysler;Sedan;00021.jpg
212;538;1893;1131;36;4;0;BMW M6 Convertible 2010;BMW;Convertible;00022.jpg
11;28;476;234;120;18;5;GMC Yukon Hybrid SUV 2012;GMC;SUV;00023.jpg
53;126;973;621;170;36;2;Nissan Juke Hatchback 2012;Nissan;Hatchback;00024.jpg
34;87;567;343;194;47;4;Volvo 240 Sedan 1993;Volvo;Sedan;00025.jpg
30;174;598;379;134;22;4;Hyundai Sonata Hybrid Sedan 2012;Hyundai;Sedan;00026.jpg
80;107;606;336;184;43;4;Suzuki SX4 Sedan 2012;Suzuki;Sedan;00027.jpg
45;115;585;382;86;12;6;Dodge Ram Pickup 3500 Crew Cab 2010;Dodge;Truck;00028.jpg
28;139;1564;1126;180;42;1;Spyker C8 Coupe 2009;Spyker;Coupe;00029.jpg
82;109;874;521;194;47;4;Volvo 240 Sedan 1993;Volvo;Sedan;00030.jpg
55;318;446;564;154;28;5;Land Rover Range Rover SUV 2012;Land Rover;SUV;00031.jpg
12;31;471;350;139;22;2;Hyundai Elantra Touring Hatchback 2012;Hyundai;Hatchback;00032.jpg
34;197;1011;656;66;9;4;Chevrolet Cobalt SS 2010;Chevrolet;Sedan;00033.jpg
37;63;614;397;133;22;5;Hyundai Veracruz SUV 2012;Hyundai;SUV;00034.jpg
223;87;1111;670;154;28;5;Land Rover Range Rover SUV 2012;Land Rover;SUV;00035.jpg
138;41;521;223;104;15;1;Ferrari 458 Italia Coupe 2012;Ferrari;Coupe;00036.jpg
31;87;616;344;38;4;0;BMW Z4 Convertible 2012;BMW;Convertible;00037.jpg
16;89;459;326;97;12;4;Dodge Charger SRT-8 2009;Dodge;Sedan;00038.jpg
53;113;614;350;105;16;4;Fisker Karma Sedan 2012;Fisker;Sedan;00039.jpg
214;110;660;403;142;23;5;Infiniti QX56 SUV 2011;Infiniti;SUV;00040.jpg
61;55;566;408;13;3;1;Audi A5 Coupe 2012;Audi;Coupe;00041.jpg
28;61;622;371;191;46;2;Volkswagen Golf Hatchback 1991;Volkswagen;Hatchback;00042.jpg
22;39;588;362;119;18;7;GMC Savana Van 2012;GMC;Van;00043.jpg
220;193;537;364;38;4;0;BMW Z4 Convertible 2012;BMW;Convertible;00044.jpg
12;108;489;297;186;45;5;Toyota Sequoia SUV 2012;Toyota;SUV;00045.jpg
28;80;759;466;25;3;1;Audi TT RS Coupe 2012;Audi;Coupe;00046.jpg
84;248;1102;899;194;47;4;Volvo 240 Sedan 1993;Volvo;Sedan;00047.jpg
142;69;753;451;177;40;4;Rolls-Royce Phantom Sedan 2012;Rolls-Royce;Sedan;00048.jpg
166;543;887;903;173;38;4;Porsche Panamera Sedan 2012;Porsche;Sedan;00049.jpg
20;96;564;341;42;5;1;Bentley Continental GT Coupe 2012;Bentley;Coupe;00050.jpg
41;181;607;465;91;12;6;Dodge Dakota Club Cab 2007;Dodge;Truck;00051.jpg
39;29;774;395;148;26;5;Jeep Grand Cherokee SUV 2012;Jeep;SUV;00052.jpg
58;562;1528;1081;97;12;4;Dodge Charger SRT-8 2009;Dodge;Sedan;00054.jpg
80;120;582;391;42;5;1;Bentley Continental GT Coupe 2012;Bentley;Coupe;00055.jpg
32;48;472;267;53;8;6;Cadillac Escalade EXT Crew Cab 2007;Cadillac;Truck;00056.jpg
260;138;972;439;44;5;4;Bentley Continental Flying Spur Sedan 2007;Bentley;Sedan;00057.jpg
11;35;256;173;65;9;6;Chevrolet Avalanche Crew Cab 2012;Chevrolet;Truck;00058.jpg
68;91;607;354;90;12;6;Dodge Dakota Crew Cab 2010;Dodge;Truck;00059.jpg
11;104;1011;742;114;17;6;Ford F-150 Regular Cab 2007;Ford;Truck;00061.jpg
19;21;425;265;190;46;2;Volkswagen Golf Hatchback 2012;Volkswagen;Hatchback;00062.jpg
175;330;928;647;101;15;1;Ferrari FF Coupe 2012;Ferrari;Coupe;00063.jpg
97;39;925;700;187;45;4;Toyota Camry Sedan 2012;Toyota;Sedan;00064.jpg
63;175;417;320;8;2;0;Aston Martin V8 Vantage Convertible 2012;Aston;Convertible;00065.jpg
30;39;221;125;17;3;4;Audi 100 Sedan 1994;Audi;Sedan;00066.jpg
129;89;594;432;111;17;6;Ford Ranger SuperCab 2011;Ford;Truck;00067.jpg
32;43;598;350;122;18;6;GMC Canyon Extended Cab 2012;GMC;Truck;00068.jpg
142;124;675;445;5;1;4;Acura TSX Sedan 2012;Acura;Sedan;00069.jpg
220;313;1054;976;29;4;4;BMW 3 Series Sedan 2012;BMW;Sedan;00070.jpg
8;12;639;299;126;21;3;Honda Odyssey Minivan 2012;Honda;Minivan;00071.jpg
92;271;1178;749;94;12;5;Dodge Durango SUV 2012;Dodge;SUV;00072.jpg
15;12;314;230;106;17;6;Ford F-450 Super Duty Crew Cab 2012;Ford;Truck;00073.jpg
14;12;309;223;106;17;6;Ford F-450 Super Duty Crew Cab 2012;Ford;Truck;00074.jpg
45;74;522;253;188;45;4;Toyota Corolla Sedan 2012;Toyota;Sedan;00075.jpg
12;27;284;166;59;9;0;Chevrolet Camaro Convertible 2012;Chevrolet;Convertible;00076.jpg
25;25;3502;2017;110;17;5;Ford Edge SUV 2012;Ford;SUV;00077.jpg
36;88;611;417;43;5;1;Bentley Continental GT Coupe 2007;Bentley;Coupe;00078.jpg
165;126;749;425;133;22;5;Hyundai Veracruz SUV 2012;Hyundai;SUV;00079.jpg
20;21;292;217;111;17;6;Ford Ranger SuperCab 2011;Ford;Truck;00080.jpg
10;55;540;271;8;2;0;Aston Martin V8 Vantage Convertible 2012;Aston;Convertible;00081.jpg
63;113;597;413;192;46;2;Volkswagen Beetle Hatchback 2012;Volkswagen;Hatchback;00082.jpg
55;48;294;205;18;3;8;Audi 100 Wagon 1994;Audi;Wagon;00083.jpg
27;67;620;474;116;17;7;Ford E-Series Wagon Van 2012;Ford;Van;00084.jpg
15;80;629;402;49;7;4;Buick Verano Sedan 2012;Buick;Sedan;00085.jpg
119;300;1416;871;145;26;5;Jeep Patriot SUV 2012;Jeep;SUV;00086.jpg
17;36;455;215;49;7;4;Buick Verano Sedan 2012;Buick;Sedan;00087.jpg
171;176;2373;1751;170;36;2;Nissan Juke Hatchback 2012;Nissan;Hatchback;00088.jpg
49;195;1003;617;20;3;4;Audi S6 Sedan 2011;Audi;Sedan;00089.jpg
5;43;296;211;114;17;6;Ford F-150 Regular Cab 2007;Ford;Truck;00090.jpg
49;57;494;419;165;34;4;Mercedes-Benz S-Class Sedan 2012;Mercedes-Benz;Sedan;00091.jpg
101;84;492;272;138;22;4;Hyundai Sonata Sedan 2012;Hyundai;Sedan;00092.jpg
23;53;258;144;175;40;0;Rolls-Royce Phantom Drophead Coupe Convertible 2012;Rolls-Royce;Convertible;00093.jpg
19;60;783;440;112;17;1;Ford GT Coupe 2006;Ford;Coupe;00094.jpg
110;171;1213;648;122;18;6;GMC Canyon Extended Cab 2012;GMC;Truck;00095.jpg
39;67;346;206;104;15;1;Ferrari 458 Italia Coupe 2012;Ferrari;Coupe;00096.jpg
3;7;76;50;57;9;1;Chevrolet Corvette Ron Fellows Edition Z06 2007;Chevrolet;Coupe;00097.jpg
65;37;578;360;51;8;4;Cadillac CTS-V Sedan 2012;Cadillac;Sedan;00098.jpg
27;60;486;364;37;4;5;BMW X3 SUV 2012;BMW;SUV;00099.jpg
22;180;454;355;71;9;7;Chevrolet Express Van 2007;Chevrolet;Van;00100.jpg
70;39;940;742;193;47;2;Volvo C30 Hatchback 2012;Volvo;Hatchback;00101.jpg
99;130;396;222;105;16;4;Fisker Karma Sedan 2012;Fisker;Sedan;00102.jpg
85;107;609;381;61;9;4;Chevrolet Impala Sedan 2007;Chevrolet;Sedan;00103.jpg
1;76;480;315;74;9;6;Chevrolet Silverado 1500 Extended Cab 2012;Chevrolet;Truck;00104.jpg
57;266;967;623;133;22;5;Hyundai Veracruz SUV 2012;Hyundai;SUV;00105.jpg
69;75;236;161;162;34;4;Mercedes-Benz C-Class Sedan 2012;Mercedes-Benz;Sedan;00106.jpg
24;17;249;163;131;22;5;Hyundai Santa Fe SUV 2012;Hyundai;SUV;00107.jpg
7;27;212;147;88;12;7;Dodge Sprinter Cargo Van 2009;Dodge;Van;00108.jpg
18;14;248;168;121;18;5;GMC Acadia SUV 2012;GMC;SUV;00109.jpg
52;6;759;513;180;42;1;Spyker C8 Coupe 2009;Spyker;Coupe;00111.jpg
231;103;430;226;137;22;4;Hyundai Genesis Sedan 2012;Hyundai;Sedan;00112.jpg
91;148;700;582;133;22;5;Hyundai Veracruz SUV 2012;Hyundai;SUV;00113.jpg
19;72;624;397;71;9;7;Chevrolet Express Van 2007;Chevrolet;Van;00114.jpg
26;90;376;243;83;12;8;Dodge Caliber Wagon 2012;Dodge;Wagon;00115.jpg
132;120;667;401;110;17;5;Ford Edge SUV 2012;Ford;SUV;00116.jpg
84;44;663;342;42;5;1;Bentley Continental GT Coupe 2012;Bentley;Coupe;00117.jpg
87;235;591;412;177;40;4;Rolls-Royce Phantom Sedan 2012;Rolls-Royce;Sedan;00118.jpg
173;370;1207;960;147;26;5;Jeep Liberty SUV 2012;Jeep;SUV;00119.jpg
3;19;195;114;161;34;0;Mercedes-Benz 300-Class Convertible 1993;Mercedes-Benz;Convertible;00120.jpg
49;143;487;455;109;17;5;Ford Expedition EL SUV 2009;Ford;SUV;00121.jpg
72;67;233;176;28;4;1;BMW 1 Series Coupe 2012;BMW;Coupe;00122.jpg
151;568;1954;1271;144;25;1;Jaguar XK XKR 2012;Jaguar;Coupe;00123.jpg
14;88;271;178;53;8;6;Cadillac Escalade EXT Crew Cab 2007;Cadillac;Truck;00124.jpg
135;761;1894;1353;29;4;4;BMW 3 Series Sedan 2012;BMW;Sedan;00125.jpg
44;123;778;487;66;9;4;Chevrolet Cobalt SS 2010;Chevrolet;Sedan;00126.jpg
69;103;537;322;79;10;4;Chrysler 300 SRT-8 2010;Chrysler;Sedan;00127.jpg
86;78;355;284;13;3;1;Audi A5 Coupe 2012;Audi;Coupe;00128.jpg
50;80;592;273;136;22;4;Hyundai Accent Sedan 2012;Hyundai;Sedan;00129.jpg
95;161;543;368;143;24;5;Isuzu Ascender SUV 2008;Isuzu;SUV;00130.jpg
275;195;863;474;171;36;1;Nissan 240SX Coupe 1998;Nissan;Coupe;00131.jpg
99;78;557;389;89;12;5;Dodge Journey SUV 2012;Dodge;SUV;00132.jpg
11;126;426;360;135;22;4;Hyundai Elantra Sedan 2007;Hyundai;Sedan;00133.jpg
1;2;267;185;161;34;0;Mercedes-Benz 300-Class Convertible 1993;Mercedes-Benz;Convertible;00134.jpg
19;735;2669;2192;58;9;5;Chevrolet Traverse SUV 2012;Chevrolet;SUV;00135.jpg
21;35;279;195;122;18;6;GMC Canyon Extended Cab 2012;GMC;Truck;00136.jpg
45;99;593;403;178;41;2;Scion xD Hatchback 2012;Scion;Hatchback;00137.jpg
130;282;1425;900;56;9;1;Chevrolet Corvette ZR1 2012;Chevrolet;Coupe;00138.jpg
72;215;628;481;184;43;4;Suzuki SX4 Sedan 2012;Suzuki;Sedan;00139.jpg
62;95;633;434;191;46;2;Volkswagen Golf Hatchback 1991;Volkswagen;Hatchback;00140.jpg
13;106;476;260;40;5;4;Bentley Arnage Sedan 2009;Bentley;Sedan;00141.jpg
78;300;952;633;60;9;8;Chevrolet HHR SS 2010;Chevrolet;Wagon;00142.jpg
72;51;566;412;155;28;5;Land Rover LR2 SUV 2012;Land Rover;SUV;00143.jpg
66;59;283;202;71;9;7;Chevrolet Express Van 2007;Chevrolet;Van;00144.jpg
135;36;1181;885;140;22;4;Hyundai Azera Sedan 2012;Hyundai;Sedan;00145.jpg
2;5;298;162;42;5;1;Bentley Continental GT Coupe 2012;Bentley;Coupe;00146.jpg
8;12;770;309;76;10;5;Chrysler Aspen SUV 2009;Chrysler;SUV;00147.jpg
24;78;608;379;187;45;4;Toyota Camry Sedan 2012;Toyota;Sedan;00148.jpg
34;1;242;179;86;12;6;Dodge Ram Pickup 3500 Crew Cab 2010;Dodge;Truck;00149.jpg
11;208;596;386;8;2;0;Aston Martin V8 Vantage Convertible 2012;Aston;Convertible;00150.jpg
8;37;294;150;5;1;4;Acura TSX Sedan 2012;Acura;Sedan;00151.jpg
23;66;499;311;47;7;4;Buick Regal GS 2012;Buick;Sedan;00152.jpg
6;138;627;361;30;4;8;BMW 3 Series Wagon 2012;BMW;Wagon;00153.jpg
17;105;385;243;18;3;8;Audi 100 Wagon 1994;Audi;Wagon;00154.jpg
76;4;1585;1120;149;26;5;Jeep Compass SUV 2012;Jeep;SUV;00155.jpg
22;21;211;139;174;39;3;Ram C/V Cargo Van Minivan 2012;Ram;Minivan;00156.jpg
32;130;973;661;138;22;4;Hyundai Sonata Sedan 2012;Hyundai;Sedan;00157.jpg
75;236;1196;846;179;42;0;Spyker C8 Convertible 2009;Spyker;Convertible;00158.jpg
37;139;988;694;24;3;4;Audi S4 Sedan 2007;Audi;Sedan;00159.jpg
114;46;546;287;42;5;1;Bentley Continental GT Coupe 2012;Bentley;Coupe;00160.jpg
12;83;629;354;73;9;4;Chevrolet Malibu Sedan 2007;Chevrolet;Sedan;00161.jpg
38;66;548;385;176;40;4;Rolls-Royce Ghost Sedan 2012;Rolls-Royce;Sedan;00162.jpg
46;84;661;428;1;0;5;AM General Hummer SUV 2000;AM;SUV;00163.jpg
13;29;239;174;37;4;5;BMW X3 SUV 2012;BMW;SUV;00164.jpg
27;65;490;220;36;4;0;BMW M6 Convertible 2010;BMW;Convertible;00165.jpg
4;69;402;245;108;17;3;Ford Freestar Minivan 2007;Ford;Minivan;00166.jpg
19;27;429;258;41;5;4;Bentley Mulsanne Sedan 2011;Bentley;Sedan;00167.jpg
110;96;565;389;40;5;4;Bentley Arnage Sedan 2009;Bentley;Sedan;00168.jpg
2;22;140;81;119;18;7;GMC Savana Van 2012;GMC;Van;00169.jpg
48;71;615;453;119;18;7;GMC Savana Van 2012;GMC;Van;00170.jpg
41;42;262;170;19;3;2;Audi TT Hatchback 2011;Audi;Hatchback;00171.jpg
6;108;493;267;163;34;1;Mercedes-Benz SL-Class Coupe 2009;Mercedes-Benz;Coupe;00172.jpg
26;61;508;342;120;18;5;GMC Yukon Hybrid SUV 2012;GMC;SUV;00173.jpg
13;29;249;159;54;9;6;Chevrolet Silverado 1500 Hybrid Crew Cab 2012;Chevrolet;Truck;00174.jpg
69;120;739;502;116;17;7;Ford E-Series Wagon Van 2012;Ford;Van;00175.jpg
45;85;1005;558;66;9;4;Chevrolet Cobalt SS 2010;Chevrolet;Sedan;00176.jpg
98;22;650;302;50;7;5;Buick Enclave SUV 2012;Buick;SUV;00177.jpg
5;28;285;148;122;18;6;GMC Canyon Extended Cab 2012;GMC;Truck;00178.jpg
42;113;601;439;155;28;5;Land Rover LR2 SUV 2012;Land Rover;SUV;00179.jpg
3;40;297;157;142;23;5;Infiniti QX56 SUV 2011;Infiniti;SUV;00180.jpg
84;256;913;752;68;9;0;Chevrolet TrailBlazer SS 2009;Chevrolet;Convertible;00181.jpg
43;226;1001;630;170;36;2;Nissan Juke Hatchback 2012;Nissan;Hatchback;00182.jpg
2;9;196;125;161;34;0;Mercedes-Benz 300-Class Convertible 1993;Mercedes-Benz;Convertible;00183.jpg
34;51;604;344;161;34;0;Mercedes-Benz 300-Class Convertible 1993;Mercedes-Benz;Convertible;00184.jpg
24;35;620;438;133;22;5;Hyundai Veracruz SUV 2012;Hyundai;SUV;00185.jpg
6;72;255;178;125;20;6;HUMMER H2 SUT Crew Cab 2009;HUMMER;Truck;00186.jpg
4;408;1600;934;160;33;1;McLaren MP4-12C Coupe 2012;McLaren;Coupe;00187.jpg
25;162;1241;764;93;12;1;Dodge Challenger SRT8 2011;Dodge;Coupe;00188.jpg
18;15;583;421;183;43;2;Suzuki SX4 Hatchback 2012;Suzuki;Hatchback;00189.jpg
198;416;1271;935;45;6;0;Bugatti Veyron 16.4 Convertible 2009;Bugatti;Convertible;00190.jpg
129;75;654;422;143;24;5;Isuzu Ascender SUV 2008;Isuzu;SUV;00191.jpg
37;24;259;212;189;45;5;Toyota 4Runner SUV 2012;Toyota;SUV;00192.jpg
82;107;990;723;48;7;5;Buick Rainier SUV 2007;Buick;SUV;00193.jpg
187;327;1211;769;176;40;4;Rolls-Royce Ghost Sedan 2012;Rolls-Royce;Sedan;00194.jpg
150;339;1313;771;77;10;0;Chrysler Sebring Convertible 2010;Chrysler;Convertible;00195.jpg
26;46;266;213;190;46;2;Volkswagen Golf Hatchback 2012;Volkswagen;Hatchback;00196.jpg
47;102;492;371;110;17;5;Ford Edge SUV 2012;Ford;SUV;00197.jpg
91;121;574;357;6;1;4;Acura Integra Type R 2001;Acura;Sedan;00198.jpg
151;298;1285;835;191;46;2;Volkswagen Golf Hatchback 1991;Volkswagen;Hatchback;00199.jpg
30;55;301;187;16;3;4;Audi V8 Sedan 1994;Audi;Sedan;00200.jpg
21;1;386;200;12;3;0;Audi RS 4 Convertible 2008;Audi;Convertible;00201.jpg
233;217;1228;807;90;12;6;Dodge Dakota Crew Cab 2010;Dodge;Truck;00202.jpg
30;167;945;545;188;45;4;Toyota Corolla Sedan 2012;Toyota;Sedan;00203.jpg
11;61;284;151;128;21;1;Honda Accord Coupe 2012;Honda;Coupe;00204.jpg
29;70;612;356;23;3;4;Audi S4 Sedan 2012;Audi;Sedan;00205.jpg
117;222;558;434;11;2;1;Aston Martin Virage Coupe 2012;Aston;Coupe;00206.jpg
31;119;438;258;93;12;1;Dodge Challenger SRT8 2011;Dodge;Coupe;00207.jpg
26;151;360;256;8;2;0;Aston Martin V8 Vantage Convertible 2012;Aston;Convertible;00208.jpg
58;136;973;636;63;9;4;Chevrolet Sonic Sedan 2012;Chevrolet;Sedan;00209.jpg
8;80;639;366;173;38;4;Porsche Panamera Sedan 2012;Porsche;Sedan;00210.jpg
11;47;598;365;176;40;4;Rolls-Royce Ghost Sedan 2012;Rolls-Royce;Sedan;00211.jpg
8;20;254;155;72;9;1;Chevrolet Monte Carlo Coupe 2007;Chevrolet;Coupe;00212.jpg
37;62;261;191;195;47;5;Volvo XC90 SUV 2007;Volvo;SUV;00213.jpg
70;78;915;640;114;17;6;Ford F-150 Regular Cab 2007;Ford;Truck;00214.jpg
38;50;221;138;72;9;1;Chevrolet Monte Carlo Coupe 2007;Chevrolet;Coupe;00215.jpg
21;45;133;88;119;18;7;GMC Savana Van 2012;GMC;Van;00216.jpg
45;39;594;444;18;3;8;Audi 100 Wagon 1994;Audi;Wagon;00217.jpg
39;94;337;245;77;10;0;Chrysler Sebring Convertible 2010;Chrysler;Convertible;00218.jpg
89;1;597;316;18;3;8;Audi 100 Wagon 1994;Audi;Wagon;00219.jpg
16;103;462;347;107;17;0;Ford Mustang Convertible 2007;Ford;Convertible;00220.jpg
29;21;477;299;10;2;0;Aston Martin Virage Convertible 2012;Aston;Convertible;00221.jpg
89;58;545;338;196;48;0;smart fortwo Convertible 2012;smart;Convertible;00222.jpg
42;115;299;288;99;14;2;FIAT 500 Abarth 2012;FIAT;Hatchback;00223.jpg
19;10;177;134;88;12;7;Dodge Sprinter Cargo Van 2009;Dodge;Van;00224.jpg
20;50;463;313;121;18;5;GMC Acadia SUV 2012;GMC;SUV;00225.jpg
46;15;202;156;111;17;6;Ford Ranger SuperCab 2011;Ford;Truck;00226.jpg
36;63;613;397;61;9;4;Chevrolet Impala Sedan 2007;Chevrolet;Sedan;00227.jpg
237;156;896;365;141;23;1;Infiniti G Coupe IPL 2012;Infiniti;Coupe;00228.jpg
5;46;255;138;136;22;4;Hyundai Accent Sedan 2012;Hyundai;Sedan;00229.jpg
223;542;3692;2478;183;43;2;Suzuki SX4 Hatchback 2012;Suzuki;Hatchback;00230.jpg
73;109;606;374;106;17;6;Ford F-450 Super Duty Crew Cab 2012;Ford;Truck;00231.jpg
15;110;544;381;84;12;8;Dodge Caliber Wagon 2007;Dodge;Wagon;00232.jpg
276;124;1495;951;194;47;4;Volvo 240 Sedan 1993;Volvo;Sedan;00233.jpg
99;364;1211;954;132;22;5;Hyundai Tucson SUV 2012;Hyundai;SUV;00234.jpg
59;63;549;404;111;17;6;Ford Ranger SuperCab 2011;Ford;Truck;00235.jpg
19;138;571;424;7;1;2;Acura ZDX Hatchback 2012;Acura;Hatchback;00236.jpg
11;10;396;265;65;9;6;Chevrolet Avalanche Crew Cab 2012;Chevrolet;Truck;00237.jpg
163;91;527;346;26;4;4;BMW ActiveHybrid 5 Sedan 2012;BMW;Sedan;00238.jpg
4;19;255;172;16;3;4;Audi V8 Sedan 1994;Audi;Sedan;00239.jpg
45;60;251;171;138;22;4;Hyundai Sonata Sedan 2012;Hyundai;Sedan;00240.jpg
32;59;1011;709;170;36;2;Nissan Juke Hatchback 2012;Nissan;Hatchback;00241.jpg
10;53;273;167;102;15;0;Ferrari California Convertible 2012;Ferrari;Convertible;00242.jpg
270;228;727;416;168;36;2;Nissan Leaf Hatchback 2012;Nissan;Hatchback;00243.jpg
21;93;479;331;7;1;2;Acura ZDX Hatchback 2012;Acura;Hatchback;00244.jpg
22;59;536;238;61;9;4;Chevrolet Impala Sedan 2007;Chevrolet;Sedan;00245.jpg
1;317;1280;945;167;35;4;Mitsubishi Lancer Sedan 2012;Mitsubishi;Sedan;00246.jpg
47;125;850;468;137;22;4;Hyundai Genesis Sedan 2012;Hyundai;Sedan;00247.jpg
52;167;508;387;177;40;4;Rolls-Royce Phantom Sedan 2012;Rolls-Royce;Sedan;00248.jpg
6;155;631;450;153;27;1;Lamborghini Diablo Coupe 2001;Lamborghini;Coupe;00249.jpg
11;35;246;186;190;46;2;Volkswagen Golf Hatchback 2012;Volkswagen;Hatchback;00250.jpg
576;466;2994;1953;167;35;4;Mitsubishi Lancer Sedan 2012;Mitsubishi;Sedan;00251.jpg
37;50;253;158;105;16;4;Fisker Karma Sedan 2012;Fisker;Sedan;00252.jpg
51;105;579;335;50;7;5;Buick Enclave SUV 2012;Buick;SUV;00253.jpg
21;11;296;141;131;22;5;Hyundai Santa Fe SUV 2012;Hyundai;SUV;00254.jpg
29;78;734;396;6;1;4;Acura Integra Type R 2001;Acura;Sedan;00255.jpg
85;215;776;511;21;3;0;Audi S5 Convertible 2012;Audi;Convertible;00256.jpg
23;146;617;329;31;4;0;BMW 6 Series Convertible 2007;BMW;Convertible;00257.jpg
34;86;227;166;51;8;4;Cadillac CTS-V Sedan 2012;Cadillac;Sedan;00258.jpg
75;254;2514;1929;187;45;4;Toyota Camry Sedan 2012;Toyota;Sedan;00259.jpg
28;164;698;417;134;22;4;Hyundai Sonata Hybrid Sedan 2012;Hyundai;Sedan;00260.jpg
32;79;378;221;16;3;4;Audi V8 Sedan 1994;Audi;Sedan;00261.jpg
158;132;501;293;103;15;0;Ferrari 458 Italia Convertible 2012;Ferrari;Convertible;00262.jpg
177;299;730;673;40;5;4;Bentley Arnage Sedan 2009;Bentley;Sedan;00263.jpg
42;72;472;299;69;9;6;Chevrolet Silverado 2500HD Regular Cab 2012;Chevrolet;Truck;00264.jpg
15;74;387;195;55;9;0;Chevrolet Corvette Convertible 2012;Chevrolet;Convertible;00265.jpg
22;300;786;552;17;3;4;Audi 100 Sedan 1994;Audi;Sedan;00266.jpg
25;133;620;374;46;6;1;Bugatti Veyron 16.4 Coupe 2009;Bugatti;Coupe;00267.jpg
49;53;596;398;74;9;6;Chevrolet Silverado 1500 Extended Cab 2012;Chevrolet;Truck;00268.jpg
29;192;605;391;185;44;4;Tesla Model S Sedan 2012;Tesla;Sedan;00269.jpg
15;70;357;186;122;18;6;GMC Canyon Extended Cab 2012;GMC;Truck;00270.jpg
11;23;141;80;174;39;3;Ram C/V Cargo Van Minivan 2012;Ram;Minivan;00271.jpg
8;1;590;327;100;14;0;FIAT 500 Convertible 2012;FIAT;Convertible;00272.jpg
37;65;458;321;69;9;6;Chevrolet Silverado 2500HD Regular Cab 2012;Chevrolet;Truck;00273.jpg
31;69;435;310;20;3;4;Audi S6 Sedan 2011;Audi;Sedan;00274.jpg
165;183;495;358;130;22;2;Hyundai Veloster Hatchback 2012;Hyundai;Hatchback;00275.jpg
75;93;529;360;132;22;5;Hyundai Tucson SUV 2012;Hyundai;SUV;00276.jpg
72;193;926;613;173;38;4;Porsche Panamera Sedan 2012;Porsche;Sedan;00277.jpg
1;38;251;135;156;29;4;Lincoln Town Car Sedan 2011;Lincoln;Sedan;00278.jpg
16;31;553;297;47;7;4;Buick Regal GS 2012;Buick;Sedan;00279.jpg
3;33;261;176;107;17;0;Ford Mustang Convertible 2007;Ford;Convertible;00280.jpg
214;240;387;342;151;27;1;Lamborghini Aventador Coupe 2012;Lamborghini;Coupe;00281.jpg
20;97;460;356;61;9;4;Chevrolet Impala Sedan 2007;Chevrolet;Sedan;00282.jpg
112;190;664;342;105;16;4;Fisker Karma Sedan 2012;Fisker;Sedan;00283.jpg
49;101;942;619;94;12;5;Dodge Durango SUV 2012;Dodge;SUV;00284.jpg
7;20;634;298;194;47;4;Volvo 240 Sedan 1993;Volvo;Sedan;00285.jpg
116;143;769;713;195;47;5;Volvo XC90 SUV 2007;Volvo;SUV;00286.jpg
56;299;1266;721;91;12;6;Dodge Dakota Club Cab 2007;Dodge;Truck;00287.jpg
60;46;258;138;189;45;5;Toyota 4Runner SUV 2012;Toyota;SUV;00288.jpg
205;197;741;425;15;3;1;Audi R8 Coupe 2012;Audi;Coupe;00289.jpg
68;30;620;506;140;22;4;Hyundai Azera Sedan 2012;Hyundai;Sedan;00290.jpg
27;147;573;471;142;23;5;Infiniti QX56 SUV 2011;Infiniti;SUV;00291.jpg
